id,cohort,freq,level,mag,phase
WT-2,WT (mixed C57BL/6:FVB),2,50,0.902198085520885,-0.9647939998317766
WT-2,WT (mixed C57BL/6:FVB),2,60,2.15205386942212,-0.4802364661006712
WT-2,WT (mixed C57BL/6:FVB),2,70,5.89810995310766,-0.705936903291225
WT-2,WT (mixed C57BL/6:FVB),2,80,19.1373464093287,-0.7071228606714619
WT-2,WT (mixed C57BL/6:FVB),2.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2.5,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2.5,40,NA,NA
WT-2,WT (mixed C57BL/6:FVB),2.5,50,0.765367818249903,-1.175013413579192
WT-2,WT (mixed C57BL/6:FVB),2.5,60,2.50535112362316,-1.8488007625230265
WT-2,WT (mixed C57BL/6:FVB),2.5,70,7.34289860283933,-2.3586153466997675
WT-2,WT (mixed C57BL/6:FVB),2.5,80,24.364947293916,-1.50621538394118
WT-2,WT (mixed C57BL/6:FVB),3,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3,40,0.79180449721905,-4.9183516722870735
WT-2,WT (mixed C57BL/6:FVB),3,50,2.0296547744674,-5.048654999070698
WT-2,WT (mixed C57BL/6:FVB),3,60,7.24309788407077,-5.043172368270512
WT-2,WT (mixed C57BL/6:FVB),3,70,16.02045379775,-3.0453594041135323
WT-2,WT (mixed C57BL/6:FVB),3,80,51.7748779588861,-3.505654409351312
WT-2,WT (mixed C57BL/6:FVB),3.5,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3.5,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3.5,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),3.5,40,0.771690134345906,-5.391927986901148
WT-2,WT (mixed C57BL/6:FVB),3.5,50,3.04771133498072,-4.976364508640883
WT-2,WT (mixed C57BL/6:FVB),3.5,60,8.11378117527,-4.948783223018793
WT-2,WT (mixed C57BL/6:FVB),3.5,70,23.8399010708875,-6.008115952666891
WT-2,WT (mixed C57BL/6:FVB),3.5,80,75.4627575565177,-5.697542582157187
WT-2,WT (mixed C57BL/6:FVB),4,10,NA,NA
WT-2,WT (mixed C57BL/6:FVB),4,20,NA,NA
WT-2,WT (mixed C57BL/6:FVB),4,30,NA,NA
WT-2,WT (mixed C57BL/6:FVB),4,40,1.66551257345707,-9.211961415133278
WT-2,WT (mixed C57BL/6:FVB),4,50,5.53371480195452,-9.835723756413776
WT-2,WT (mixed C57BL/6:FVB),4,60,8.87841236477455,-8.844451229976949
